17/06/2009,Reference: 042000000715D000009562I,14,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
15/06/2009,Reference: 042000000715D000009562H,13.75,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009562G,13.7,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009562F,13.56,AMAZON.CO.UK,BOOKS AMAZON EU
16/06/2009,Reference: 042000000715D000009562E,13.48,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009562D,13.3,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009562C,12.94,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009562B,12.75,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009562A,12.74,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009562{,12.73,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009561I,12.7,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009561H,11.75,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
15/06/2009,Reference: 042000000715D000009561G,11.54,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009561F,11.15,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009561E,10.98,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009561D,10.73,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009561C,10.7,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009561B,10.49,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009561A,10.34,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009561{,9.87,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009560I,9.82,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009560H,9.74,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
15/06/2009,Reference: 042000000715D000009560G,9.74,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009560F,9.73,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009560E,9.55,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
17/06/2009,Reference: 042000000715D000009560D,9.25,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
16/06/2009,Reference: 042000000715D000009560C,9.24,AMAZON.CO.UK,PAYMENTS AMAZON SVCS EU-UK
